"","new_year","day_of_week","hijri_year"
"407","1612-10-24","Wednesday",1020.9375
"408","1611-10-25","Tuesday",1019.90625
"409","1610-10-25","Monday",1018.875
"410","1609-10-25","Sunday",1017.84375
"411","1608-10-25","Saturday",1016.8125
"412","1607-10-26","Friday",1015.78125
"413","1606-10-26","Thursday",1014.75
"414","1605-10-26","Wednesday",1013.71875
"415","1604-10-26","Tuesday",1012.6875
"416","1603-10-27","Monday",1011.65625
"417","1602-10-27","Sunday",1010.625
"418","1601-10-27","Saturday",1009.59375
"419","1600-10-27","Friday",1008.5625
"420","1599-10-28","Thursday",1007.53125
"421","1598-10-28","Wednesday",1006.5
"422","1597-10-28","Tuesday",1005.46875
"423","1596-10-28","Monday",1004.4375
"424","1595-10-29","Sunday",1003.40625
"425","1594-10-29","Saturday",1002.375
"426","1593-10-29","Friday",1001.34375
"427","1592-10-29","Thursday",1000.3125
"428","1591-10-30","Wednesday",999.28125
"429","1590-10-30","Tuesday",998.25
"430","1589-10-30","Monday",997.21875
"431","1588-10-30","Sunday",996.1875
"432","1587-10-31","Saturday",995.15625
"433","1586-10-31","Friday",994.125
"434","1585-10-31","Thursday",993.09375
"435","1584-10-31","Wednesday",992.0625
"436","1583-11-01","Tuesday",991.03125
"437","1582-11-01","Monday",990
"438","1581-11-01","Sunday",988.96875
"439","1580-11-01","Saturday",987.9375
"440","1579-11-02","Friday",986.90625
"441","1578-11-02","Thursday",985.875
"442","1577-11-02","Wednesday",984.84375
"443","1576-11-02","Tuesday",983.8125
"444","1575-11-03","Monday",982.78125
"445","1574-11-03","Sunday",981.75
"446","1573-11-03","Saturday",980.71875
"447","1572-11-03","Friday",979.6875
"448","1571-11-04","Thursday",978.65625
"449","1570-11-04","Wednesday",977.625
"450","1569-11-04","Tuesday",976.59375
"451","1568-11-04","Monday",975.5625
"452","1567-11-05","Sunday",974.53125
"453","1566-11-05","Saturday",973.5
"454","1565-11-05","Friday",972.46875
"455","1564-11-05","Thursday",971.4375
"456","1563-11-06","Wednesday",970.40625
"457","1562-11-06","Tuesday",969.375
"458","1561-11-06","Monday",968.34375
"459","1560-11-06","Sunday",967.3125
"460","1559-11-07","Saturday",966.28125
"461","1558-11-07","Friday",965.25
"462","1557-11-07","Thursday",964.21875
"463","1556-11-07","Wednesday",963.1875
"464","1555-11-08","Tuesday",962.15625
"465","1554-11-08","Monday",961.125
"466","1553-11-08","Sunday",960.09375
"467","1552-11-08","Saturday",959.0625
"468","1551-11-09","Friday",958.03125
"469","1550-11-09","Thursday",957
"470","1549-11-09","Wednesday",955.96875
"471","1548-11-09","Tuesday",954.9375
"472","1547-11-10","Monday",953.90625
"473","1546-11-10","Sunday",952.875
"474","1545-11-10","Saturday",951.84375
"475","1544-11-10","Friday",950.8125
"476","1543-11-11","Thursday",949.78125
"477","1542-11-11","Wednesday",948.75
"478","1541-11-11","Tuesday",947.71875
"479","1540-11-11","Monday",946.6875
"480","1539-11-12","Sunday",945.65625
"481","1538-11-12","Saturday",944.625
"482","1537-11-12","Friday",943.59375
"483","1536-11-12","Thursday",942.5625
"484","1535-11-13","Wednesday",941.53125
"485","1534-11-13","Tuesday",940.5
"486","1533-11-13","Monday",939.46875
"487","1532-11-13","Sunday",938.4375
"488","1531-11-14","Saturday",937.40625
"489","1530-11-14","Friday",936.375
"490","1529-11-14","Thursday",935.34375
"491","1528-11-14","Wednesday",934.3125
"492","1527-11-15","Tuesday",933.28125
"493","1526-11-15","Monday",932.25
"494","1525-11-15","Sunday",931.21875
"495","1524-11-15","Saturday",930.1875
"496","1523-11-16","Friday",929.15625
"497","1522-11-16","Thursday",928.125
"498","1521-11-16","Wednesday",927.09375
"499","1520-11-16","Tuesday",926.0625
"500","1519-11-17","Monday",925.03125
"501","1518-11-17","Sunday",924
"502","1517-11-17","Saturday",922.96875
"503","1516-11-17","Friday",921.9375
"504","1515-11-18","Thursday",920.90625
"505","1514-11-18","Wednesday",919.875
"506","1513-11-18","Tuesday",918.84375
"507","1512-11-18","Monday",917.8125
"508","1511-11-19","Sunday",916.78125
"509","1510-11-19","Saturday",915.75
"510","1509-11-19","Friday",914.71875
"511","1508-11-19","Thursday",913.6875
"512","1507-11-20","Wednesday",912.65625
"513","1506-11-20","Tuesday",911.625
"514","1505-11-20","Monday",910.59375
"515","1504-11-20","Sunday",909.5625
"516","1503-11-21","Saturday",908.53125
"517","1502-11-21","Friday",907.5
"518","1501-11-21","Thursday",906.46875
"519","1500-11-21","Wednesday",905.4375
"520","1499-11-21","Tuesday",904.40625
"521","1498-11-21","Monday",903.375
"522","1497-11-21","Sunday",902.34375
"523","1496-11-21","Saturday",901.3125
"524","1495-11-22","Friday",900.28125
"525","1494-11-22","Thursday",899.25
"526","1493-11-22","Wednesday",898.21875
"527","1492-11-22","Tuesday",897.1875
"528","1491-11-23","Monday",896.15625
"529","1490-11-23","Sunday",895.125
"530","1489-11-23","Saturday",894.09375
"531","1488-11-23","Friday",893.0625
"532","1487-11-24","Thursday",892.03125
"533","1486-11-24","Wednesday",891
"534","1485-11-24","Tuesday",889.96875
"535","1484-11-24","Monday",888.9375
"536","1483-11-25","Sunday",887.90625
"537","1482-11-25","Saturday",886.875
"538","1481-11-25","Friday",885.84375
"539","1480-11-25","Thursday",884.8125
"540","1479-11-26","Wednesday",883.78125
"541","1478-11-26","Tuesday",882.75
"542","1477-11-26","Monday",881.71875
"543","1476-11-26","Sunday",880.6875
"544","1475-11-27","Saturday",879.65625
"545","1474-11-27","Friday",878.625
"546","1473-11-27","Thursday",877.59375
"547","1472-11-27","Wednesday",876.5625
"548","1471-11-28","Tuesday",875.53125
"549","1470-11-28","Monday",874.5
"550","1469-11-28","Sunday",873.46875
"551","1468-11-28","Saturday",872.4375
"552","1467-11-29","Friday",871.40625
"553","1466-11-29","Thursday",870.375
"554","1465-11-29","Wednesday",869.34375
"555","1464-11-29","Tuesday",868.3125
"556","1463-11-30","Monday",867.28125
"557","1462-11-30","Sunday",866.25
"558","1461-11-30","Saturday",865.21875
"559","1460-11-30","Friday",864.1875
"560","1459-12-01","Thursday",863.15625
"561","1458-12-01","Wednesday",862.125
"562","1457-12-01","Tuesday",861.09375
"563","1456-12-01","Monday",860.0625
"564","1455-12-02","Sunday",859.03125
"565","1454-12-02","Saturday",858
"566","1453-12-02","Friday",856.96875
"567","1452-12-02","Thursday",855.9375
"568","1451-12-03","Wednesday",854.90625
"569","1450-12-03","Tuesday",853.875
"570","1449-12-03","Monday",852.84375
"571","1448-12-03","Sunday",851.8125
"572","1447-12-04","Saturday",850.78125
"573","1446-12-04","Friday",849.75
"574","1445-12-04","Thursday",848.71875
"575","1444-12-04","Wednesday",847.6875
"576","1443-12-05","Tuesday",846.65625
"577","1442-12-05","Monday",845.625
"578","1441-12-05","Sunday",844.59375
"579","1440-12-05","Saturday",843.5625
"580","1439-12-06","Friday",842.53125
"581","1438-12-06","Thursday",841.5
"582","1437-12-06","Wednesday",840.46875
"583","1436-12-06","Tuesday",839.4375
"584","1435-12-07","Monday",838.40625
"585","1434-12-07","Sunday",837.375
"586","1433-12-07","Saturday",836.34375
"587","1432-12-07","Friday",835.3125
"588","1431-12-08","Thursday",834.28125
"589","1430-12-08","Wednesday",833.25
"590","1429-12-08","Tuesday",832.21875
"591","1428-12-08","Monday",831.1875
"592","1427-12-09","Sunday",830.15625
"593","1426-12-09","Saturday",829.125
"594","1425-12-09","Friday",828.09375
"595","1424-12-09","Thursday",827.0625
"596","1423-12-10","Wednesday",826.03125
"597","1422-12-10","Tuesday",825
"598","1421-12-10","Monday",823.96875
"599","1420-12-10","Sunday",822.9375
"600","1419-12-11","Saturday",821.90625
"601","1418-12-11","Friday",820.875
"602","1417-12-11","Thursday",819.84375
"603","1416-12-11","Wednesday",818.8125
"604","1415-12-12","Tuesday",817.78125
"605","1414-12-12","Monday",816.75
"606","1413-12-12","Sunday",815.71875
"607","1412-12-12","Saturday",814.6875
"608","1411-12-13","Friday",813.65625
"609","1410-12-13","Thursday",812.625
"610","1409-12-13","Wednesday",811.59375
"611","1408-12-13","Tuesday",810.5625
"612","1407-12-14","Monday",809.53125
"613","1406-12-14","Sunday",808.5
"614","1405-12-14","Saturday",807.46875
"615","1404-12-14","Friday",806.4375
"616","1403-12-15","Thursday",805.40625
"617","1402-12-15","Wednesday",804.375
"618","1401-12-15","Tuesday",803.34375
"619","1400-12-15","Monday",802.3125
"620","1399-12-15","Sunday",801.28125
"621","1398-12-15","Saturday",800.25
"622","1397-12-15","Friday",799.21875
"623","1396-12-15","Thursday",798.1875
"624","1395-12-16","Wednesday",797.15625
"625","1394-12-16","Tuesday",796.125
"626","1393-12-16","Monday",795.09375
"627","1392-12-16","Sunday",794.0625
"628","1391-12-17","Saturday",793.03125
"629","1390-12-17","Friday",792
"630","1389-12-17","Thursday",790.96875
"631","1388-12-17","Wednesday",789.9375
"632","1387-12-18","Tuesday",788.90625
"633","1386-12-18","Monday",787.875
"634","1385-12-18","Sunday",786.84375
"635","1384-12-18","Saturday",785.8125
"636","1383-12-19","Friday",784.78125
"637","1382-12-19","Thursday",783.75
"638","1381-12-19","Wednesday",782.71875
"639","1380-12-19","Tuesday",781.6875
"640","1379-12-20","Monday",780.65625
"641","1378-12-20","Sunday",779.625
"642","1377-12-20","Saturday",778.59375
"643","1376-12-20","Friday",777.5625
"644","1375-12-21","Thursday",776.53125
"645","1374-12-21","Wednesday",775.5
"646","1373-12-21","Tuesday",774.46875
"647","1372-12-21","Monday",773.4375
"648","1371-12-22","Sunday",772.40625
"649","1370-12-22","Saturday",771.375
"650","1369-12-22","Friday",770.34375
"651","1368-12-22","Thursday",769.3125
"652","1367-12-23","Wednesday",768.28125
"653","1366-12-23","Tuesday",767.25
"654","1365-12-23","Monday",766.21875
"655","1364-12-23","Sunday",765.1875
"656","1363-12-24","Saturday",764.15625
"657","1362-12-24","Friday",763.125
"658","1361-12-24","Thursday",762.09375
"659","1360-12-24","Wednesday",761.0625
"660","1359-12-25","Tuesday",760.03125
"661","1358-12-25","Monday",759
"662","1357-12-25","Sunday",757.96875
"663","1356-12-25","Saturday",756.9375
"664","1355-12-26","Friday",755.90625
"665","1354-12-26","Thursday",754.875
"666","1353-12-26","Wednesday",753.84375
"667","1352-12-26","Tuesday",752.8125
"668","1351-12-27","Monday",751.78125
"669","1350-12-27","Sunday",750.75
"670","1349-12-27","Saturday",749.71875
"671","1348-12-27","Friday",748.6875
"672","1347-12-28","Thursday",747.65625
"673","1346-12-28","Wednesday",746.625
"674","1345-12-28","Tuesday",745.59375
"675","1344-12-28","Monday",744.5625
"676","1343-12-29","Sunday",743.53125
"677","1342-12-29","Saturday",742.5
"678","1341-12-29","Friday",741.46875
"679","1340-12-29","Thursday",740.4375
"680","1339-12-30","Wednesday",739.40625
"681","1338-12-30","Tuesday",738.375
"682","1337-12-30","Monday",737.34375
"683","1336-12-30","Sunday",736.3125
"684","1335-12-31","Saturday",735.28125
